Datetime,Water Level (m)
2023-12-01 12:00:00,-0.3881897
2023-12-01 13:00:00,-0.4950306
2023-12-01 14:00:00,-0.5848103
2023-12-01 15:00:00,-0.6440288
2023-12-01 16:00:00,-0.54940486
2023-12-01 17:00:00,-0.16105807
2023-12-01 18:00:00,0.21993148
2023-12-01 19:00:00,0.50557363
2023-12-01 20:00:00,0.6551319
2023-12-01 21:00:00,0.6420939
2023-12-01 22:00:00,0.42985126
2023-12-01 23:00:00,0.1156236
2023-12-02 00:00:00,-0.10784929
2023-12-02 01:00:00,-0.25848985
2023-12-02 02:00:00,-0.3640055
2023-12-02 03:00:00,-0.45659852
2023-12-02 04:00:00,-0.512746
2023-12-02 05:00:00,-0.41525018
2023-12-02 06:00:00,-0.09523206
2023-12-02 07:00:00,0.17362335
2023-12-02 08:00:00,0.28640026
2023-12-02 09:00:00,0.26955155
2023-12-02 10:00:00,0.13967967
2023-12-02 11:00:00,-0.08574872
2023-12-02 12:00:00,-0.27742395
2023-12-02 13:00:00,-0.4189255
2023-12-02 14:00:00,-0.5251229
2023-12-02 15:00:00,-0.6016878
2023-12-02 16:00:00,-0.610358
2023-12-02 17:00:00,-0.37598705
2023-12-02 18:00:00,0.015115543
2023-12-02 19:00:00,0.32686242
2023-12-02 20:00:00,0.51983637
2023-12-02 21:00:00,0.5677712
2023-12-02 22:00:00,0.47598508
2023-12-02 23:00:00,0.24076355
2023-12-03 00:00:00,-0.0024800468
2023-12-03 01:00:00,-0.17590599
2023-12-03 02:00:00,-0.29913247
2023-12-03 03:00:00,-0.40046903
2023-12-03 04:00:00,-0.48038998
2023-12-03 05:00:00,-0.51131475
2023-12-03 06:00:00,-0.36416414
2023-12-03 07:00:00,-0.05034426
2023-12-03 08:00:00,0.16314906
2023-12-03 09:00:00,0.23892768
2023-12-03 10:00:00,0.20503943
2023-12-03 11:00:00,0.062146723
2023-12-03 12:00:00,-0.14426829
2023-12-03 13:00:00,-0.3033911
2023-12-03 14:00:00,-0.42410424
2023-12-03 15:00:00,-0.5108237
2023-12-03 16:00:00,-0.5600725
2023-12-03 17:00:00,-0.515157
2023-12-03 18:00:00,-0.231519
2023-12-03 19:00:00,0.08671589
2023-12-03 20:00:00,0.32258382
2023-12-03 21:00:00,0.44909665
2023-12-03 22:00:00,0.45048344
2023-12-03 23:00:00,0.33278328
2023-12-04 00:00:00,0.1115006
2023-12-04 01:00:00,-0.08687242
2023-12-04 02:00:00,-0.23255672
2023-12-04 03:00:00,-0.3416606
2023-12-04 04:00:00,-0.43507063
2023-12-04 05:00:00,-0.5042152
2023-12-04 06:00:00,-0.5148531
2023-12-04 07:00:00,-0.36044773
2023-12-04 08:00:00,-0.08548353
2023-12-04 09:00:00,0.10495541
2023-12-04 10:00:00,0.17881657
2023-12-04 11:00:00,0.14832994
2023-12-04 12:00:00,0.020701587
2023-12-04 13:00:00,-0.15146014
2023-12-04 14:00:00,-0.29876992
2023-12-04 15:00:00,-0.41161898
2023-12-04 16:00:00,-0.48241377
2023-12-04 17:00:00,-0.49815908
2023-12-04 18:00:00,-0.3818544
2023-12-04 19:00:00,-0.10783801
2023-12-04 20:00:00,0.13196604
2023-12-04 21:00:00,0.31882516
2023-12-04 22:00:00,0.41550586
2023-12-04 23:00:00,0.3957638
2023-12-05 00:00:00,0.26232085
2023-12-05 01:00:00,0.073513456
2023-12-05 02:00:00,-0.08575376
2023-12-05 03:00:00,-0.20872651
2023-12-05 04:00:00,-0.31045058
2023-12-05 05:00:00,-0.4057971
2023-12-05 06:00:00,-0.47836894
2023-12-05 07:00:00,-0.49158862
2023-12-05 08:00:00,-0.35463965
2023-12-05 09:00:00,-0.091795295
2023-12-05 10:00:00,0.10279604
2023-12-05 11:00:00,0.18205626
2023-12-05 12:00:00,0.16688411
2023-12-05 13:00:00,0.07637581
2023-12-05 14:00:00,-0.07489525
2023-12-05 15:00:00,-0.22682811
2023-12-05 16:00:00,-0.34003544
2023-12-05 17:00:00,-0.40878856
2023-12-05 18:00:00,-0.4251589
2023-12-05 19:00:00,-0.34398255
2023-12-05 20:00:00,-0.13331018
2023-12-05 21:00:00,0.09278767
2023-12-05 22:00:00,0.27417317
2023-12-05 23:00:00,0.3618225
2023-12-06 00:00:00,0.34011924
2023-12-06 01:00:00,0.21757439
2023-12-06 02:00:00,0.036968224
2023-12-06 03:00:00,-0.11822147
2023-12-06 04:00:00,-0.25391427
2023-12-06 05:00:00,-0.3685725
2023-12-06 06:00:00,-0.46870226
2023-12-06 07:00:00,-0.5468666
2023-12-06 08:00:00,-0.5767787
2023-12-06 09:00:00,-0.47568396
2023-12-06 10:00:00,-0.17240788
2023-12-06 11:00:00,0.0714705
2023-12-06 12:00:00,0.18563262
2023-12-06 13:00:00,0.19587357
2023-12-06 14:00:00,0.10996829
2023-12-06 15:00:00,-0.048400324
2023-12-06 16:00:00,-0.20712677
2023-12-06 17:00:00,-0.32470176
2023-12-06 18:00:00,-0.3942642
2023-12-06 19:00:00,-0.420977
2023-12-06 20:00:00,-0.38678676
2023-12-06 21:00:00,-0.22985426
2023-12-06 22:00:00,0.014382692
2023-12-06 23:00:00,0.23118322
2023-12-07 00:00:00,0.3521922
2023-12-07 01:00:00,0.35979828
2023-12-07 02:00:00,0.27283913
2023-12-07 03:00:00,0.09847937
2023-12-07 04:00:00,-0.084076375
2023-12-07 05:00:00,-0.23083492
2023-12-07 06:00:00,-0.3528002
2023-12-07 07:00:00,-0.4561284
2023-12-07 08:00:00,-0.53582615
2023-12-07 09:00:00,-0.54685396
2023-12-07 10:00:00,-0.3464331
2023-12-07 11:00:00,-0.0024512154
2023-12-07 12:00:00,0.241701
